CODE,observation_count,unique_values,zscore_missing
85343-2,1,1,1
8478-0,1,1,1
85352-3,1,1,1
63586-2,3762,229,0
6248-9,36,4,0
6273-7,36,4,0
6276-0,36,4,0
6298-4,3881,16,0
6299-2,3881,131,0
6301-6,132,25,0
63512-8,3762,8,0
10230-1,43,41,0
6206-7,36,4,0
66519-0,4,3,0
66524-0,4,4,0
66529-9,4,3,0
66534-9,4,4,0
6690-2,1179,98,0
6768-6,1534,853,0
6833-8,36,4,0
6844-5,36,4,0
6246-3,36,4,0
6158-0,36,4,0
6189-5,36,4,0
5902-2,106,36,0
5797-6,3056,201,0
5799-2,98,1,0
5802-4,98,2,0
5803-2,3199,34,0
5804-0,3101,1882,0
5811-5,3199,1,0
5821-4,45,45,0
5905-5,69,45,0
704-7,69,5,0
59460-6,879,120,0
59576-9,928,568,0
6075-6,36,4,0
6082-2,36,4,0
6085-5,36,4,0
6095-4,36,4,0
6106-9,36,4,0
70274-6,2064,22,0
711-2,69,7,0
706-2,69,20,0
8480-6,5544,109,0
788-0,245,32,0
789-8,1179,21,0
82667-7,1147,11,0
8289-1,495,47,0
8302-2,5005,857,0
8310-5,339,53,0
8462-4,5544,96,0
86924-8,2,2,0
786-4,1179,46,0
8867-4,5042,135,0
89204-2,282,19,0
89579-7,147,43,0
91145-3,43,35,0
91146-1,43,34,0
9279-1,5042,86,0
9843-4,495,150,0
787-2,1179,173,0
785-6,1179,65,0
10834-0,1289,16,0
736-9,69,57,0
713-8,69,29,0
71425-3,12,7,0
718-7,1185,82,0
72106-8,24,23,0
72514-3,13179,11,0
7258-7,36,4,0
731-0,69,16,0
74006-8,7890,41,0
777-3,1179,989,0
742-7,69,13,0
751-8,69,32,0
75626-2,1119,13,0
75893-8,43,32,0
76504-0,1069,5,0
770-8,69,65,0
77606-2,495,326,0
5794-3,98,1,0
5792-7,3101,59,0
57905-2,10,10,0
2502-3,88,80,0
20454-5,98,2,0
20505-4,3056,14,0
20565-8,3881,91,0
20570-8,47,33,0
2069-3,3881,101,0
2075-0,2230,101,0
2085-9,1512,409,0
2093-3,1512,869,0
21000-5,934,71,0
21377-7,12,5,0
2157-6,30,30,0
2160-0,2230,37,0
2276-4,118,111,0
2339-0,3881,567,0
2345-7,2230,539,0
24467-3,53,51,0
2498-4,88,84,0
20447-9,53,53,0
2028-9,2230,91,0
2027-1,14,10,0
18262-6,1512,854,0
13945-1,45,19,0
14627-4,14,13,0
14804-9,30,30,0
14959-1,556,463,0
1742-6,1534,469,0
1751-7,1534,21,0
17861-6,2230,18,0
19123-9,189,8,0
2021-4,14,14,0
1920-8,1534,362,0
1960-4,116,46,0
1975-2,1534,87,0
1988-5,30,26,0
19926-5,106,91,0
19994-3,26,25,0
2019-8,116,64,0
2500-7,88,88,0
2514-8,98,2,0
5787-7,45,31,0
25428-4,98,2,0
33728-7,2,2,0
33756-8,10,9,0
33762-6,88,88,0
33914-3,4114,1025,0
33959-8,30,6,0
38208-5,73,52,0
38265-5,23,14,0
38483-4,3881,165,0
39156-5,4646,207,0
44261-6,178,25,0
4544-3,1138,172,0
4548-4,3027,38,0
46240-8,12,11,0
48065-7,30,16,0
49765-1,3881,18,0
55758-7,2943,7,0
5770-3,98,2,0
32693-4,2,2,0
32623-1,934,30,0
32207-3,934,824,0
2823-3,2230,16,0
2571-8,1512,740,0
2703-7,116,93,0
2705-2,14,14,0
2708-6,296,103,0
2744-1,116,6,0
2746-6,14,2,0
2777-1,76,21,0
2857-1,33,27,0
3184-9,16,15,0
2885-2,1534,31,0
29463-7,5173,885,0
2947-0,3881,81,0
2951-2,2230,81,0
3016-3,13,11,0
3094-0,2230,131,0
3173-2,88,60,0
X9999-2,25,4,0
