CODE,observation_count,unique_values,zscore_missing
85344-0,1,1,1
63512-8,3597,8,0
63586-2,3597,238,0
66519-0,3,2,0
66524-0,3,3,0
66529-9,3,2,0
66534-9,3,3,0
6690-2,1171,99,0
6768-6,1708,911,0
6833-8,17,4,0
6844-5,17,4,0
10230-1,44,43,0
704-7,41,3,0
706-2,41,17,0
711-2,41,5,0
713-8,41,22,0
71425-3,6,5,0
718-7,1173,92,0
71970-8,2,2,0
71972-4,2,2,0
72106-8,56,48,0
70274-6,1923,21,0
6301-6,81,17,0
7258-7,17,4,0
6095-4,17,4,0
5821-4,42,40,0
5902-2,75,33,0
5905-5,41,37,0
59460-6,664,117,0
59576-9,829,532,0
6075-6,17,4,0
6082-2,17,4,0
6085-5,17,3,0
6106-9,17,4,0
6299-2,3753,131,0
6158-0,17,4,0
6189-5,17,4,0
6206-7,17,4,0
6246-3,17,4,0
6248-9,17,4,0
6273-7,17,4,0
6276-0,17,3,0
6298-4,3753,16,0
72514-3,14273,11,0
731-0,41,6,0
10834-0,1503,16,0
99999-10,4,3,0
8867-4,4769,124,0
89204-2,208,18,0
89579-7,140,25,0
91145-3,26,23,0
91146-1,26,22,0
9279-1,4769,78,0
9843-4,513,163,0
99999-1,4,4,0
99999-11,4,4,0
8480-6,5275,110,0
99999-2,4,3,0
99999-3,4,3,0
99999-4,4,4,0
99999-5,4,4,0
99999-6,4,4,0
99999-7,4,3,0
99999-8,4,3,0
99999-9,4,3,0
85352-3,4,1,0
8478-0,5,5,0
736-9,41,38,0
777-3,1171,958,0
74006-8,9142,41,0
742-7,41,9,0
751-8,41,23,0
75626-2,934,12,0
75893-8,26,22,0
76504-0,1050,5,0
770-8,41,38,0
77606-2,513,344,0
785-6,1171,65,0
8462-4,5275,104,0
786-4,1171,46,0
787-2,1171,174,0
788-0,205,32,0
789-8,1171,21,0
82667-7,1021,10,0
8289-1,513,55,0
8302-2,4712,836,0
8310-5,323,51,0
5811-5,2986,1,0
5804-0,2895,1892,0
5803-2,2986,35,0
2160-0,1826,24,0
20570-8,42,35,0
2069-3,3753,101,0
2075-0,1826,101,0
2085-9,1380,417,0
2093-3,1380,848,0
21000-5,966,71,0
21377-7,6,4,0
2157-6,21,21,0
2276-4,125,121,0
20505-4,2853,14,0
2339-0,3753,478,0
2345-7,1826,405,0
24467-3,6,6,0
2498-4,104,101,0
2500-7,104,99,0
2502-3,104,87,0
2514-8,91,2,0
25428-4,91,2,0
20565-8,3753,91,0
20454-5,91,2,0
2703-7,60,52,0
19123-9,164,8,0
13945-1,42,18,0
14627-4,6,5,0
14804-9,21,21,0
14959-1,317,190,0
1742-6,1708,464,0
1751-7,1708,21,0
17861-6,1826,18,0
18262-6,1380,855,0
1920-8,1708,355,0
20447-9,6,6,0
1960-4,60,33,0
1975-2,1708,70,0
1988-5,21,16,0
19926-5,228,195,0
2019-8,60,42,0
2021-4,6,6,0
2027-1,6,5,0
2028-9,1826,91,0
2571-8,1380,645,0
2705-2,6,6,0
5802-4,91,2,0
48065-7,21,6,0
38208-5,72,51,0
38265-5,24,15,0
38483-4,3753,139,0
39156-5,4383,208,0
44261-6,180,25,0
4544-3,1131,191,0
4548-4,2437,43,0
46240-8,4,4,0
49765-1,3753,18,0
33914-3,3686,1130,0
55758-7,2830,7,0
5770-3,91,2,0
5787-7,42,25,0
57905-2,20,18,0
5792-7,2895,56,0
5794-3,91,1,0
5797-6,2853,201,0
5799-2,91,1,0
33959-8,21,3,0
33762-6,104,104,0
2708-6,247,82,0
2951-2,1826,81,0
2744-1,60,6,0
2746-6,6,2,0
2777-1,54,18,0
2823-3,1826,16,0
2857-1,26,18,0
2885-2,1708,29,0
29463-7,4892,842,0
2947-0,3753,81,0
3016-3,8,7,0
33756-8,20,17,0
3024-7,2,2,0
3094-0,1826,131,0
3173-2,60,50,0
3184-9,6,6,0
32207-3,966,851,0
32623-1,966,30,0
32693-4,8,8,0
33728-7,5,5,0
X9999-2,26,4,0
