CODE,observation_count,unique_values,zscore_missing
71958-3,1,1,1
71956-7,1,1,1
71960-9,1,1,1
71962-5,1,1,1
71964-1,1,1,1
71966-6,1,1,1
71968-2,1,1,1
6690-2,931,90,0
63512-8,3034,8,0
63586-2,3034,212,0
66519-0,4,3,0
66524-0,4,4,0
66529-9,4,3,0
66534-9,4,4,0
6844-5,34,4,0
6768-6,779,562,0
6833-8,34,4,0
6299-2,2162,131,0
70274-6,1632,22,0
704-7,97,3,0
706-2,97,21,0
6301-6,100,30,0
6298-4,2162,16,0
713-8,97,30,0
6276-0,34,4,0
5803-2,1844,28,0
5804-0,1818,1387,0
5811-5,1844,1,0
5821-4,35,35,0
5902-2,98,38,0
5905-5,97,60,0
59460-6,402,112,0
59576-9,955,588,0
6075-6,34,4,0
6082-2,34,3,0
6085-5,34,4,0
6095-4,34,4,0
6106-9,34,4,0
6158-0,34,4,0
6189-5,34,4,0
6206-7,34,4,0
6246-3,34,4,0
6248-9,34,4,0
6273-7,34,4,0
711-2,97,5,0
10230-1,18,18,0
71425-3,2,2,0
85344-0,2,2,0
82667-7,804,10,0
8289-1,548,65,0
8302-2,4297,894,0
8310-5,393,57,0
8462-4,4695,85,0
8478-0,2,2,0
8480-6,4695,111,0
85352-3,2,1,0
788-0,219,31,0
8867-4,4434,163,0
89204-2,250,19,0
89579-7,156,45,0
91145-3,22,19,0
91146-1,22,20,0
9279-1,4434,109,0
9843-4,548,163,0
789-8,931,21,0
787-2,931,171,0
718-7,932,87,0
742-7,97,10,0
10834-0,559,16,0
72106-8,19,17,0
72514-3,6950,11,0
7258-7,34,4,0
731-0,97,11,0
736-9,97,77,0
74006-8,2416,41,0
751-8,97,27,0
786-4,931,46,0
75626-2,787,12,0
75893-8,22,19,0
76504-0,907,5,0
770-8,97,83,0
77606-2,548,373,0
777-3,931,819,0
785-6,931,65,0
5802-4,26,2,0
5799-2,26,1,0
5797-6,1783,201,0
21377-7,2,2,0
20505-4,1783,14,0
20565-8,2162,91,0
20570-8,41,29,0
2069-3,2162,101,0
2075-0,1690,101,0
2085-9,1151,403,0
2093-3,1151,736,0
21000-5,712,71,0
2157-6,62,59,0
5794-3,26,1,0
2160-0,1690,23,0
2276-4,146,143,0
2339-0,2162,452,0
2345-7,1690,377,0
24467-3,54,53,0
2498-4,84,82,0
2500-7,84,83,0
2502-3,84,79,0
20454-5,26,2,0
20447-9,54,54,0
2028-9,1690,91,0
2027-1,8,6,0
13945-1,35,15,0
14627-4,8,8,0
14804-9,62,59,0
14959-1,283,193,0
1742-6,779,412,0
1751-7,779,21,0
17861-6,1690,18,0
18262-6,1151,736,0
19123-9,128,8,0
1920-8,779,330,0
1960-4,88,44,0
1975-2,779,83,0
1988-5,62,39,0
19926-5,346,211,0
19994-3,44,44,0
2019-8,88,62,0
2021-4,8,8,0
2514-8,26,2,0
25428-4,26,2,0
2571-8,1151,593,0
33756-8,16,14,0
33914-3,2542,1036,0
33959-8,62,6,0
38208-5,58,44,0
38265-5,20,10,0
38483-4,2162,98,0
39156-5,3913,237,0
44261-6,143,25,0
4544-3,891,178,0
4548-4,1839,42,0
46240-8,25,22,0
48065-7,62,16,0
49765-1,2162,18,0
55758-7,2343,7,0
5770-3,26,2,0
5787-7,35,25,0
57905-2,16,16,0
5792-7,1818,48,0
33762-6,84,84,0
33728-7,4,3,0
2703-7,88,78,0
32693-4,2,2,0
2705-2,8,8,0
2708-6,305,119,0
2744-1,88,6,0
2746-6,8,2,0
2777-1,36,16,0
2823-3,1690,16,0
2857-1,12,11,0
2885-2,779,31,0
29463-7,4509,928,0
2947-0,2162,81,0
2951-2,1690,81,0
3016-3,6,6,0
3094-0,1690,131,0
3173-2,38,35,0
3184-9,8,8,0
32207-3,712,642,0
32623-1,712,30,0
X9999-2,28,4,0
