CODE,observation_count,unique_values,zscore_missing
85344-0,1,1,1
85352-3,1,1,1
66519-0,1,1,1
66524-0,1,1,1
66529-9,1,1,1
66534-9,1,1,1
10230-1,45,42,0
6844-5,15,4,0
6690-2,1187,96,0
6768-6,1266,783,0
6833-8,15,4,0
70274-6,2035,22,0
63512-8,3975,8,0
704-7,101,3,0
706-2,101,21,0
711-2,101,5,0
713-8,101,30,0
71425-3,6,6,0
718-7,1188,87,0
72106-8,14,14,0
72514-3,10130,11,0
7258-7,15,4,0
63586-2,3975,229,0
6299-2,3680,131,0
6301-6,168,32,0
6095-4,15,4,0
5821-4,45,43,0
5902-2,162,43,0
5905-5,101,62,0
59460-6,1067,121,0
59576-9,812,503,0
6075-6,15,4,0
6082-2,15,4,0
6085-5,15,4,0
6106-9,15,4,0
736-9,101,84,0
6158-0,15,3,0
6189-5,15,4,0
6206-7,15,4,0
6246-3,15,4,0
6248-9,15,4,0
6273-7,15,4,0
6276-0,15,4,0
6298-4,3680,16,0
731-0,101,12,0
74006-8,4687,41,0
5804-0,3606,2147,0
99999-10,2,2,0
8867-4,5236,173,0
89204-2,171,15,0
89579-7,205,59,0
91145-3,46,36,0
91146-1,46,35,0
9279-1,5236,113,0
9843-4,575,168,0
99999-1,2,2,0
99999-11,2,2,0
742-7,101,10,0
99999-2,2,2,0
99999-3,2,2,0
99999-4,2,2,0
99999-5,2,2,0
99999-6,2,2,0
99999-7,2,2,0
99999-8,2,2,0
99999-9,2,2,0
8480-6,5675,113,0
8478-0,2,2,0
8462-4,5675,100,0
84215-3,12,1,0
751-8,101,27,0
75443-2,12,1,0
75626-2,1224,13,0
75893-8,46,39,0
76504-0,1205,5,0
770-8,101,85,0
77606-2,575,380,0
777-3,1187,1002,0
785-6,1187,64,0
786-4,1187,46,0
787-2,1187,179,0
788-0,332,32,0
789-8,1187,21,0
82667-7,1300,10,0
8289-1,575,60,0
8302-2,5095,837,0
8310-5,381,58,0
5811-5,3676,1,0
5803-2,3676,34,0
10834-0,931,16,0
5802-4,70,2,0
20565-8,3680,91,0
20570-8,37,26,0
2069-3,3680,101,0
2075-0,3228,101,0
2085-9,2158,484,0
2093-3,2158,1091,0
21000-5,855,71,0
21377-7,6,4,0
2157-6,59,57,0
2160-0,3228,31,0
2276-4,183,172,0
2339-0,3680,808,0
2345-7,3228,904,0
24467-3,43,43,0
2498-4,124,119,0
2500-7,124,122,0
2502-3,124,109,0
2514-8,70,2,0
25428-4,70,2,0
20505-4,3561,14,0
20454-5,70,2,0
20447-9,50,47,0
19123-9,239,8,0
13945-1,45,20,0
14627-4,12,10,0
14804-9,59,56,0
14959-1,1146,596,0
1742-6,1266,478,0
1751-7,1266,21,0
17861-6,3228,18,0
18262-6,2158,1054,0
1920-8,1266,366,0
2028-9,3228,91,0
1960-4,199,49,0
1975-2,1266,95,0
1988-5,59,42,0
19926-5,62,60,0
19994-3,84,79,0
2019-8,199,85,0
2021-4,12,12,0
2027-1,12,7,0
2571-8,2158,1056,0
2703-7,199,158,0
2705-2,12,10,0
48065-7,59,27,0
38208-5,109,62,0
38265-5,12,9,0
38483-4,3680,221,0
39156-5,4700,224,0
44261-6,199,25,0
4544-3,1151,193,0
4548-4,3530,50,0
46240-8,27,23,0
49765-1,3680,18,0
33914-3,5332,1120,0
55758-7,3101,7,0
5770-3,70,2,0
5787-7,45,29,0
57905-2,21,21,0
5792-7,3606,57,0
5794-3,70,1,0
5797-6,3561,201,0
5799-2,70,1,0
33959-8,59,6,0
33762-6,125,125,0
2708-6,457,135,0
2951-2,3228,81,0
2744-1,199,6,0
2746-6,12,2,0
2777-1,103,21,0
2823-3,3228,16,0
2857-1,11,10,0
2885-2,1266,31,0
29463-7,5346,843,0
2947-0,3680,81,0
3016-3,14,11,0
33756-8,21,17,0
3024-7,2,1,0
3094-0,3228,131,0
3173-2,109,76,0
3184-9,12,11,0
32207-3,855,756,0
32623-1,855,30,0
32693-4,3,3,0
33728-7,2,2,0
X9999-2,25,4,0
